fact_id,entity_id,predicate,value,valid_from,valid_to,confidence,document_id,created_at,updated_at
F001,C001,risk_score,85,2024-01-01T00:00:00Z,2024-06-30T00:00:00Z,0.95,D001,2024-01-02T09:00:00Z,2024-01-02T09:00:00Z
F002,C001,risk_score,45,2024-07-01T00:00:00Z,,0.97,D002,2024-07-02T09:00:00Z,2024-07-02T09:00:00Z
F003,C001,employment_status,Employed,2024-01-01T00:00:00Z,,0.98,D003,2024-01-05T09:00:00Z,2024-01-05T09:00:00Z
F004,C002,risk_score,90,2024-01-01T00:00:00Z,2024-03-31T00:00:00Z,0.92,D004,2024-01-03T09:00:00Z,2024-01-03T09:00:00Z
F005,C002,risk_score,60,2024-04-01T00:00:00Z,,0.94,D005,2024-04-01T09:00:00Z,2024-04-01T09:00:00Z
F006,C003,complaint_status,Open,2024-02-01T00:00:00Z,2024-05-30T00:00:00Z,0.9,D006,2024-02-01T09:00:00Z,2024-02-01T09:00:00Z
F007,C003,complaint_status,Resolved,2024-06-01T00:00:00Z,,0.99,D007,2024-06-01T09:00:00Z,2024-06-01T09:00:00Z
F008,C004,fraud_score,82,2024-01-01T00:00:00Z,2024-08-31T00:00:00Z,0.91,D008,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z
F009,C004,fraud_score,30,2024-09-01T00:00:00Z,,0.96,D009,2024-09-01T09:00:00Z,2024-09-01T09:00:00Z
F010,C005,kyc_status,Pending,2024-01-01T00:00:00Z,2024-02-15T00:00:00Z,0.93,D010,2024-01-01T09:00:00Z,2024-01-01T09:00:00Z
F011,C005,kyc_status,Verified,2024-02-16T00:00:00Z,,0.99,D011,2024-02-16T09:00:00Z,2024-02-16T09:00:00Z
