document_id,document_name,source_system,page_no,created_date,valid_from,valid_to,created_at,updated_at
D001,Risk_Report_Jan2024.pdf,RiskEngine,4,2024-01-02,2024-01-02T00:00:00Z,,2024-01-02T00:00:00Z,2024-01-02T00:00:00Z
D002,Risk_Report_July2024.pdf,RiskEngine,5,2024-07-02,2024-07-02T00:00:00Z,,2024-07-02T00:00:00Z,2024-07-02T00:00:00Z
D003,Employment_Verification.pdf,HRSystem,1,2024-01-05,2024-01-05T00:00:00Z,,2024-01-05T00:00:00Z,2024-01-05T00:00:00Z
D004,Risk_Report_C002_Jan.pdf,RiskEngine,2,2024-01-03,2024-01-03T00:00:00Z,,2024-01-03T00:00:00Z,2024-01-03T00:00:00Z
D005,Risk_Report_C002_Apr.pdf,RiskEngine,3,2024-04-01,2024-04-01T00:00:00Z,,2024-04-01T00:00:00Z,2024-04-01T00:00:00Z
D006,Complaint_Ticket_145.pdf,CRM,1,2024-02-01,2024-02-01T00:00:00Z,,2024-02-01T00:00:00Z,2024-02-01T00:00:00Z
D007,Complaint_Resolution_145.pdf,CRM,2,2024-06-01,2024-06-01T00:00:00Z,,2024-06-01T00:00:00Z,2024-06-01T00:00:00Z
D008,Fraud_Flag_Report.pdf,FraudEngine,1,2024-01-10,2024-01-10T00:00:00Z,,2024-01-10T00:00:00Z,2024-01-10T00:00:00Z
D009,Fraud_Clearance_Report.pdf,FraudEngine,2,2024-09-01,2024-09-01T00:00:00Z,,2024-09-01T00:00:00Z,2024-09-01T00:00:00Z
D010,KYC_Request.pdf,KYCSystem,1,2024-01-01,2024-01-01T00:00:00Z,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
D011,KYC_Verification.pdf,KYCSystem,2,2024-02-16,2024-02-16T00:00:00Z,,2024-02-16T00:00:00Z,2024-02-16T00:00:00Z
